i,k,sum(v)
429,382,1308786
394,382,1255085
389,382,1275749
317,382,1266344
283,382,1280944
275,382,1360025
299,383,1303175
57,383,1350158
0,383,1213584
386,384,1244559
421,385,1257690
174,385,1242900
108,385,1288429
68,385,1235166
17,385,1253388
448,386,1213160
203,386,1212877
282,387,1172700
247,387,1186407
126,388,1199490
489,389,1183799
480,389,1150663
124,389,1240876
172,390,1233422
107,391,1250563
392,392,1200966
346,392,1209068
228,392,1228121
386,393,1177667
200,393,1251068
381,394,1216504
204,394,1262184
57,394,1300588
366,395,1247900
47,395,1263934
491,396,1308860
267,397,1238635
49,397,1180014
6,397,1235562
457,398,1231947
128,398,1230331
109,398,1294315
8,399,1108980
493,400,1250564
455,400,1290617
267,400,1306661
111,400,1275890
436,401,1199821
236,401,1170298
261,402,1132406
192,402,1186643
102,402,1205705
13,402,1252251
209,404,1225017
173,404,1202664
146,404,1268859
51,404,1233757
442,405,1146685
274,407,1314508
89,407,1211417
179,408,1172659
130,408,1163671
321,409,1091016
317,409,1142357
164,409,1210057
120,409,1108270
114,409,1187723
460,410,1211939
405,410,1192662
322,410,1297379
301,410,1195126
264,410,1162280
245,410,1214947
89,410,1158540
72,410,1164922
9,410,1143610
300,411,1179017
329,412,1198993
229,412,1174492
222,412,1226208
62,412,1171344
42,412,1227921
114,413,1214882
34,413,1177245
262,414,1293111
38,414,1243358
149,415,1264538
111,415,1272700
366,416,1177467
286,416,1214900
65,416,1222126
44,416,1217254
474,417,1304695
170,417,1201664
167,417,1203142
126,417,1208358
480,418,1167280
183,418,1219264
76,418,1241929
407,419,1194776
274,420,1300223
197,420,1254556
148,420,1239980
428,421,1280146
305,421,1318527
118,421,1271373
464,422,1299085
382,422,1212365
212,422,1230506
101,422,1189643
466,423,1238360
416,423,1224501
322,423,1314272
87,423,1181313
62,423,1192160
498,424,1306683
244,424,1258260
149,424,1250384
98,425,1196164
118,426,1168275
486,428,1352722
425,429,1236345
428,430,1240516
346,430,1241113
341,430,1326409
21,430,1230086
167,431,1301293
385,433,1210699
175,433,1224897
447,435,1251162
439,435,1248221
415,435,1197065
321,435,1181398
56,435,1332780
383,436,1269280
316,436,1294577
114,436,1281031
112,436,1250890
162,437,1176750
92,437,1240446
340,438,1318946
231,438,1294567
30,438,1246370
282,439,1228463
185,439,1191865
492,440,1251717
412,440,1298180
379,441,1166656
212,441,1216588
147,441,1198678
336,442,1274056
8,442,1216408
274,443,1223583
142,443,1176550
0,443,1172536
293,444,1216471
119,444,1250646
30,444,1234978
486,445,1257316
477,445,1189503
283,445,1234726
174,445,1198254
140,445,1214458
462,446,1249199
207,446,1289743
26,446,1273714
307,447,1210589
271,447,1202496
232,447,1226387
481,448,1146706
466,449,1237692
151,449,1250393
291,450,1213086
267,450,1285088
132,450,1226342
309,451,1272621
281,451,1276008
114,451,1269544
484,452,1245783
139,452,1285742
341,453,1317744
265,453,1236310
219,453,1213113
492,454,1177237
254,454,1288068
231,454,1234187
124,454,1251162
485,455,1217094
461,455,1240501
385,455,1271474
219,455,1196216
128,455,1221426
343,457,1234136
331,457,1228113
289,457,1212511
277,457,1227731
204,457,1219933
157,457,1263993
463,458,1266548
413,458,1273081
227,458,1222341
134,458,1252964
84,458,1258642
190,460,1215252
187,460,1155923
123,461,1231025
384,462,1254669
329,462,1225677
303,463,1209808
145,464,1140711
223,465,1229908
177,465,1192956
145,465,1131113
123,465,1127555
259,466,1182971
192,466,1185253
100,466,1308848
90,466,1180220
464,467,1330712
327,467,1202681
266,467,1265345
223,467,1210818
89,467,1164955
341,468,1262116
252,468,1139409
107,468,1170092
361,471,1265573
196,471,1236171
247,472,1152664
88,472,1129633
402,473,1129292
273,473,1169362
44,473,1147653
318,474,1256940
225,474,1174285
220,474,1229328
471,475,1215668
308,475,1191786
3,475,1270770
416,476,1259047
302,476,1279172
202,476,1267596
398,477,1258201
298,477,1218919
281,477,1271008
235,477,1165832
456,478,1163287
411,478,1146364
174,479,1231632
422,480,1311183
394,480,1175058
334,480,1225756
265,480,1215347
258,480,1221542
381,481,1156187
221,481,1176602
185,481,1119231
129,481,1212994
337,482,1233217
149,482,1164200
310,483,1215321
269,483,1237041
100,484,1307531
11,484,1224683
301,485,1223091
219,485,1201633
187,485,1239772
30,485,1267985
396,486,1228678
364,486,1174394
258,486,1279237
64,486,1227606
246,487,1301861
172,488,1279289
131,488,1186258
4,488,1176567
301,489,1177027
269,489,1190582
174,489,1197672
39,490,1273102
417,491,1229324
392,491,1198976
378,491,1213034
328,491,1219289
320,491,1275860
52,491,1210574
0,491,1152975
382,492,1267887
240,492,1322928
89,492,1210708
423,493,1180836
184,493,1162271
487,494,1217513
408,494,1222430
225,494,1230647
126,494,1200252
50,494,1234730
38,494,1225540
407,495,1220705
52,495,1221017
245,496,1203342
140,496,1223839
139,496,1256276
478,497,1280292
375,497,1318571
163,497,1217579
38,497,1267405
281,498,1242720
456,499,1182339
90,499,1206734
481,0,1199925
395,0,1211710
131,0,1232923
398,1,1197457
235,1,1171206
406,3,1174798
191,3,1114521
334,4,1227043
301,4,1222128
251,5,1268886
133,5,1213580
198,6,1203339
327,7,1217737
153,7,1222459
40,7,1292385
6,7,1316098
472,8,1206687
385,9,1263211
279,9,1140518
109,11,1267578
495,12,1293590
446,12,1358977
261,12,1187757
170,12,1278222
165,12,1228094
93,13,1237452
361,14,1224430
201,15,1238823
276,16,1198891
458,18,1254782
410,18,1278294
385,18,1242343
361,18,1285794
285,18,1225231
242,18,1251161
49,18,1198203
118,19,1175006
112,19,1215178
37,19,1244930
213,20,1172902
392,21,1273481
343,21,1299727
337,21,1332121
467,22,1141326
415,22,1135809
212,22,1236163
21,22,1181130
235,23,1214469
470,24,1269670
460,24,1289013
459,24,1262140
411,24,1239588
370,24,1317492
140,24,1272670
35,24,1320352
483,25,1233411
196,25,1207079
128,25,1229625
100,25,1308053
45,26,1174994
365,27,1243800
380,28,1215046
315,28,1192507
304,28,1252424
76,29,1260998
36,29,1251822
9,30,1218170
28,31,1239919
25,31,1236977
215,32,1214601
304,33,1275840
24,33,1161826
440,34,1248065
314,34,1215267
232,34,1291167
278,35,1221814
186,35,1186490
116,36,1305090
1,36,1189599
357,37,1312285
407,38,1269659
17,38,1236529
428,39,1215437
298,39,1177716
246,39,1225099
229,39,1164197
142,39,1214698
8,39,1153478
82,40,1259196
494,41,1228122
398,41,1154792
309,41,1209422
62,41,1171067
462,42,1188865
401,42,1195446
64,42,1131098
493,43,1139343
411,43,1146563
173,43,1172569
93,43,1171757
360,44,1220628
322,44,1418259
264,44,1275017
232,44,1341412
467,45,1177471
448,45,1236734
299,45,1248607
251,45,1244046
164,45,1215627
14,45,1235723
210,46,1263740
3,46,1301519
488,47,1176019
415,47,1123622
326,47,1147905
138,47,1241077
345,48,1205488
268,48,1189932
259,48,1176996
213,48,1182096
147,48,1214738
430,49,1201594
50,49,1233217
497,50,1211278
283,50,1292221
175,50,1296313
321,51,1166422
219,51,1235948
141,51,1223557
399,52,1216227
205,52,1281561
195,52,1257311
416,53,1168382
380,53,1224005
472,54,1171884
107,54,1109910
208,55,1217193
168,55,1278743
180,56,1277600
413,57,1233097
367,57,1255213
152,57,1207363
424,58,1294352
355,58,1268292
161,58,1309780
127,58,1292824
313,59,1170075
120,59,1129652
111,59,1213384
87,60,1184092
122,61,1268872
12,61,1271384
360,62,1161280
58,63,1276526
194,64,1264090
204,66,1268672
172,66,1285264
70,79,1280009
499,161,1173861
6,178,1286090
70,286,1239799
499,398,1122322
200,20,1161501
456,21,1245776
456,36,1189947
199,39,1219806
342,52,1211770
174,58,1246269
446,59,1315090
213,63,1275381
3,63,1319174
470,64,1224596
431,64,1275573
81,64,1215422
371,66,1279249
243,66,1267518
30,67,1222137
415,68,1218924
277,68,1274608
120,68,1170134
44,68,1269766
497,71,1183090
478,71,1169740
199,72,1227302
427,73,1135391
317,74,1247777
123,74,1197328
494,76,1277437
341,76,1209603
174,77,1238689
54,77,1244665
360,78,1147044
24,78,1201981
446,79,1313878
194,79,1229878
468,80,1210465
214,80,1203720
59,80,1230752
179,81,1222521
139,81,1309876
40,83,1222328
211,84,1251710
187,84,1204457
464,85,1393552
436,85,1252371
381,85,1258360
175,86,1243998
57,86,1241694
490,87,1157032
254,87,1258879
244,87,1182324
215,87,1200730
140,87,1228934
35,87,1195851
292,88,1257808
195,88,1243357
194,88,1241294
3,88,1302755
430,89,1260565
4,89,1216808
440,90,1258948
431,90,1294007
447,91,1223790
302,91,1171143
261,91,1090475
105,91,1210306
28,91,1223009
487,92,1283302
264,92,1205714
194,93,1178430
103,93,1187105
88,93,1129404
78,93,1185874
301,94,1200546
256,94,1200060
53,94,1270215
387,95,1176805
197,95,1243828
10,95,1208055
376,96,1183677
343,96,1168037
328,96,1193603
234,96,1184828
388,97,1271726
333,97,1265150
183,97,1250958
159,97,1250738
460,98,1166873
202,98,1168090
198,98,1124216
157,98,1195173
182,99,1195188
125,99,1202162
488,101,1265479
346,101,1265841
260,102,1221682
93,102,1245776
333,103,1199349
296,103,1216042
498,104,1293827
118,104,1227660
216,105,1179662
93,105,1181195
18,105,1191047
401,106,1250520
347,106,1214265
239,106,1281728
196,106,1224645
107,106,1232088
367,108,1258652
94,109,1265851
352,110,1196743
213,110,1200717
172,110,1254972
45,111,1277940
42,111,1198674
152,112,1197523
65,112,1226540
160,113,1138229
63,113,1216437
393,114,1218640
105,114,1230379
83,114,1273501
237,115,1242916
235,115,1152622
479,116,1187581
98,116,1182830
82,116,1244662
47,116,1234613
423,117,1235835
239,117,1333479
108,117,1278222
65,117,1271266
26,117,1221064
367,118,1220005
358,118,1238707
305,118,1229936
286,118,1212921
235,118,1133356
74,118,1194410
243,119,1273270
430,120,1251707
317,121,1208677
99,121,1263470
85,121,1264645
352,122,1226850
15,122,1213461
329,123,1228939
22,123,1260808
284,124,1147769
219,124,1152162
39,124,1191165
20,124,1191310
452,125,1330625
270,126,1271624
153,126,1169990
74,126,1236586
200,127,1224714
464,128,1327121
456,128,1187731
306,128,1258532
140,128,1207289
36,128,1191974
370,129,1230945
227,129,1156525
81,129,1214425
248,130,1237920
374,131,1223005
490,132,1124588
422,132,1259271
255,132,1085254
365,133,1285486
348,133,1298084
238,133,1261994
377,134,1196959
337,134,1286391
150,134,1247638
73,134,1242700
456,135,1226037
373,135,1195423
301,135,1215154
72,135,1176738
460,136,1241621
67,138,1163409
411,139,1214249
389,139,1253991
485,140,1179547
222,140,1222411
492,141,1206890
4,141,1211708
368,142,1228002
321,142,1137924
283,142,1171303
88,142,1132019
88,143,1067611
17,143,1113226
21,144,1273240
234,145,1236941
195,145,1232980
161,145,1241934
21,145,1200207
163,146,1243807
168,147,1243884
85,147,1241514
41,147,1241695
3,147,1281412
366,148,1233548
305,149,1281123
267,149,1271581
250,149,1184365
392,151,1233862
464,152,1362675
270,152,1331652
195,152,1289545
102,153,1261428
422,154,1319641
314,154,1225261
195,154,1275482
159,154,1257564
142,154,1254025
138,154,1283253
25,154,1243843
402,156,1195817
234,157,1217219
29,157,1144182
362,158,1149233
347,158,1216719
335,158,1165744
327,158,1214451
298,158,1184158
164,159,1204866
44,159,1199472
210,160,1229389
209,160,1203370
141,160,1185393
34,160,1178480
388,161,1268550
342,161,1189507
334,161,1242248
238,161,1210198
113,161,1186544
39,161,1257477
271,162,1253845
251,162,1275163
241,162,1228948
87,162,1199558
59,162,1208894
401,163,1222098
301,163,1211164
160,163,1172152
424,164,1224448
357,164,1240930
283,164,1281989
254,164,1270185
67,164,1213917
358,165,1326982
352,165,1228293
27,165,1222958
17,165,1304494
64,166,1225780
247,167,1252240
205,167,1304761
48,168,1196332
213,170,1227323
175,171,1265385
91,171,1233216
493,172,1190254
243,172,1247661
233,172,1262160
172,172,1231404
142,172,1223200
34,172,1148092
351,173,1250518
9,173,1179269
412,174,1279438
352,174,1237225
319,174,1246137
12,174,1258079
328,175,1185251
410,176,1246776
171,176,1254687
43,176,1187757
5,176,1251173
394,178,1207481
392,179,1250665
219,179,1195423
98,179,1170339
103,180,1129935
360,181,1162633
158,181,1213313
485,182,1190593
247,182,1169928
245,182,1232568
219,182,1166636
469,183,1219611
262,183,1242000
197,183,1200707
30,183,1205484
29,183,1206171
368,184,1213752
359,184,1113103
73,184,1166925
46,184,1215853
274,185,1339753
447,186,1240962
351,186,1218616
112,186,1174496
215,187,1177232
212,187,1231549
5,187,1184094
447,188,1297150
439,188,1268788
427,188,1252088
433,189,1200029
425,189,1273056
257,189,1237608
240,189,1288252
120,189,1181863
384,190,1274177
311,190,1235066
299,190,1284255
100,190,1372247
81,190,1257198
303,191,1241786
220,191,1236336
102,191,1215665
78,191,1270573
29,191,1215681
2,191,1268577
320,192,1266005
107,192,1220504
394,193,1186936
450,194,1256603
327,194,1208515
100,194,1277059
199,197,1223903
129,197,1246199
110,197,1142579
98,197,1169934
479,198,1337539
474,198,1437327
247,198,1276797
213,198,1317126
30,198,1329828
142,200,1265538
463,201,1231218
441,201,1181257
344,201,1199082
265,201,1160713
458,202,1216218
221,202,1179019
199,202,1137588
191,202,1136246
129,202,1221251
73,202,1158542
311,203,1170852
270,203,1242841
385,204,1242337
47,205,1227680
326,206,1264812
375,207,1217426
364,207,1127525
236,207,1135228
335,208,1230347
199,208,1288137
198,208,1258365
175,208,1291367
24,208,1241801
3,209,1297531
341,210,1269665
299,210,1229481
96,210,1196064
47,210,1209888
418,211,1199378
318,211,1213964
297,211,1176714
122,211,1238274
114,211,1172192
106,211,1262434
35,211,1181382
492,212,1210490
146,212,1217453
112,212,1231094
42,213,1173272
376,214,1177180
197,214,1242474
66,214,1151328
320,215,1283008
150,215,1227622
141,215,1228441
131,215,1238880
120,215,1192245
460,216,1262081
184,216,1250623
54,217,1225038
298,218,1216601
158,218,1259135
60,218,1246964
429,219,1258684
327,219,1248123
75,219,1237703
471,220,1123884
258,220,1097588
215,221,1198230
394,222,1184938
57,222,1274097
385,223,1262259
321,223,1136502
287,223,1217009
258,223,1208778
241,223,1210893
158,224,1292177
66,224,1244642
15,224,1200449
475,225,1109343
193,225,1122922
186,225,1157755
479,227,1112292
291,227,1119734
218,227,1170700
417,228,1257294
379,228,1112375
149,228,1190044
85,228,1227339
76,228,1290697
438,229,1335054
483,230,1213815
164,230,1244558
77,230,1156779
60,230,1227176
473,231,1210140
321,231,1124777
4,231,1160271
350,232,1229389
260,232,1163044
235,232,1102564
153,232,1114676
38,232,1150773
103,233,1211118
413,234,1241568
222,234,1247527
179,234,1230451
407,236,1232933
481,237,1160526
474,237,1236421
311,237,1181735
288,237,1157155
194,237,1216190
75,237,1200520
455,238,1280828
51,238,1236655
141,239,1191947
485,240,1219927
338,240,1210373
207,240,1246013
435,241,1218502
400,241,1268900
162,241,1230993
91,241,1246299
81,242,1211821
56,242,1215532
306,243,1176229
270,243,1213234
202,243,1210893
175,243,1248735
93,243,1209633
313,244,1167290
340,245,1278039
329,245,1229784
311,245,1165670
54,245,1207235
325,246,1178199
251,246,1209644
136,246,1125160
390,247,1247213
383,247,1236165
179,247,1191370
167,247,1234476
297,248,1241854
62,248,1180329
336,249,1193775
279,250,1209663
301,251,1269277
300,251,1313669
59,251,1297579
431,253,1260228
453,254,1192304
290,254,1238206
189,254,1274441
329,255,1237858
263,255,1245449
237,255,1274796
183,255,1234824
218,256,1268124
170,256,1237688
362,257,1218298
346,257,1216267
154,257,1251861
447,258,1242521
329,260,1211746
131,260,1242111
287,261,1225377
471,262,1190814
450,263,1246409
375,263,1234076
65,263,1217089
462,265,1193347
405,265,1218947
323,265,1268822
218,265,1238444
170,265,1172864
164,265,1227584
144,265,1215094
130,265,1152009
204,266,1334569
124,266,1345497
414,267,1209457
309,267,1235407
65,267,1221874
15,267,1173805
179,268,1195476
149,268,1176982
79,268,1222042
447,269,1268936
415,269,1225615
353,270,1195992
407,271,1198016
290,271,1264139
185,271,1183070
490,272,1205909
471,272,1207806
245,272,1298501
221,272,1213224
30,272,1259887
495,273,1221156
345,273,1280815
308,274,1259873
354,275,1265707
129,275,1268538
87,275,1225877
232,276,1202089
64,276,1124046
142,278,1221243
91,278,1223895
184,279,1225965
41,279,1197685
388,280,1266922
368,280,1219834
258,280,1172690
199,280,1212065
399,281,1256735
433,282,1125550
390,282,1169505
328,282,1164940
103,282,1213178
4,282,1172626
265,283,1137934
261,284,1133507
441,285,1205612
11,285,1213466
14,286,1263420
494,287,1304724
485,287,1211074
473,287,1207837
393,287,1200801
147,287,1238894
40,287,1301008
0,287,1209276
190,288,1223394
47,288,1189509
492,289,1162825
452,290,1226323
356,290,1226835
333,290,1198644
256,290,1206579
283,291,1170128
270,291,1179411
203,291,1135781
66,291,1115114
489,292,1246939
194,292,1294047
172,292,1330358
165,292,1230563
33,292,1236708
491,294,1251108
283,294,1226651
211,294,1214771
210,294,1242933
159,294,1206406
155,294,1259156
14,294,1189683
325,295,1242262
308,295,1222853
288,296,1223122
193,296,1169369
89,296,1176414
452,297,1220742
216,297,1169539
131,299,1133138
281,300,1229810
262,300,1223627
402,301,1249060
391,301,1311492
294,301,1242414
263,301,1303235
27,301,1254065
223,302,1270100
128,302,1207602
441,303,1173558
298,303,1177646
149,304,1207064
105,304,1235918
312,305,1225346
218,306,1250911
188,306,1229106
477,307,1179835
285,307,1182876
205,307,1263628
351,308,1270152
340,308,1345538
310,308,1266825
228,308,1283500
438,310,1263732
222,310,1218722
220,310,1217204
345,311,1214190
494,312,1283305
492,312,1155597
261,312,1103491
35,312,1189352
172,313,1216320
143,313,1237507
249,314,1246056
193,314,1213719
178,314,1314504
198,315,1238035
181,315,1302207
141,315,1269199
71,315,1265373
15,315,1275117
495,316,1311097
476,316,1273532
199,316,1267298
320,317,1238561
290,317,1231548
140,317,1224455
45,318,1296170
393,319,1198300
31,320,1210567
324,321,1165478
109,321,1253522
404,322,1156779
221,323,1232693
129,323,1292770
170,324,1192370
223,325,1243443
107,325,1213023
469,326,1297192
355,326,1302709
292,326,1283617
132,326,1276214
414,327,1231732
278,327,1271803
130,327,1233701
162,328,1243749
426,329,1137004
322,329,1261197
266,329,1218409
156,329,1220517
435,331,1193938
194,331,1231123
35,331,1228651
15,332,1239388
425,334,1200452
389,334,1202257
161,334,1186667
187,335,1204663
426,336,1144788
469,337,1241862
282,337,1257250
494,340,1364188
446,341,1284656
191,341,1170705
495,342,1268312
411,342,1250742
239,342,1315913
153,342,1222614
132,342,1232986
378,343,1235422
260,343,1241145
196,343,1248338
472,344,1187182
398,344,1221682
353,344,1211049
68,345,1163660
327,346,1188302
322,346,1302019
144,346,1176365
46,346,1206962
286,347,1235600
195,347,1223028
87,347,1178515
481,348,1152319
348,348,1171386
64,348,1168406
466,349,1179149
194,349,1197969
110,349,1124805
272,351,1234541
7,351,1219435
344,352,1200810
5,352,1218463
426,353,1107735
45,353,1203682
490,354,1219741
488,354,1255028
416,354,1282521
415,354,1229583
405,354,1254959
347,354,1235518
217,354,1265667
421,356,1227672
320,357,1225529
272,357,1230524
185,357,1149527
120,357,1101627
196,358,1269723
34,358,1231813
309,359,1284001
257,359,1202368
144,359,1182674
233,360,1286980
109,360,1307655
56,360,1300760
16,360,1193390
233,361,1293890
308,362,1173746
262,362,1283985
209,363,1174877
323,364,1309464
250,364,1209429
152,366,1189960
126,366,1225709
400,367,1245068
214,367,1161766
118,367,1209046
39,368,1194514
473,369,1161962
443,369,1169838
411,370,1204785
388,370,1273400
366,370,1175014
250,370,1221636
160,370,1157768
73,370,1233832
241,372,1115375
25,372,1181481
406,373,1222866
465,374,1195692
120,374,1134822
39,374,1240646
388,375,1302508
342,375,1230800
143,375,1272632
483,376,1317430
425,376,1310086
80,377,1269144
261,378,1142483
462,379,1151343
266,379,1219172
8,379,1143767
467,380,1207080
394,381,1272893
332,381,1277399
123,381,1195886
464,382,1393232
274,382,1342013
69,382,1279280
64,382,1225849
454,383,1340748
192,383,1218602
454,384,1357026
208,384,1269825
426,385,1148369
245,385,1245803
296,386,1161354
257,386,1187119
288,387,1167631
327,388,1219106
291,388,1198279
280,388,1240136
82,389,1197536
495,390,1243117
293,390,1184403
280,390,1186164
253,390,1129224
227,390,1145860
188,390,1185971
416,391,1297928
347,391,1259493
312,391,1298703
257,391,1240320
430,392,1255711
378,392,1206301
237,392,1279374
197,392,1251054
347,394,1195068
286,394,1228976
402,395,1257215
323,395,1324941
301,395,1265030
255,395,1166625
176,396,1251015
160,396,1207301
67,396,1199326
15,397,1181564
336,398,1264977
371,399,1218436
335,399,1212385
181,399,1199042
117,399,1113058
438,400,1341772
15,400,1252970
90,401,1149218
429,402,1226011
422,402,1311179
5,402,1257319
15,403,1194283
432,404,1273420
409,404,1195315
381,404,1259471
236,404,1190337
494,405,1276424
366,405,1184814
173,405,1207666
399,408,1174602
205,408,1220103
57,408,1276869
14,408,1198371
156,410,1228736
497,411,1159919
311,411,1165071
69,411,1147979
61,411,1142675
57,411,1203451
35,411,1144390
486,412,1257295
2,412,1257532
404,413,1186548
158,413,1255084
267,414,1260256
119,415,1319437
374,416,1191286
283,416,1177298
494,417,1323758
453,417,1205287
403,417,1277878
323,417,1251898
129,417,1271862
174,419,1177650
56,419,1222880
209,421,1252350
29,421,1248319
341,422,1251225
137,422,1248048
225,423,1230561
188,423,1265386
428,424,1249944
154,424,1235235
425,425,1257640
281,425,1214908
207,425,1282169
113,425,1221264
51,426,1137153
399,427,1118139
10,427,1135500
229,428,1270905
224,428,1262994
319,429,1217258
310,429,1193626
1,430,1194502
433,431,1227251
149,431,1269863
73,431,1287272
13,431,1257413
474,432,1366790
258,432,1218802
337,433,1219208
321,433,1113757
314,433,1203713
177,433,1217222
482,434,1245201
270,434,1285644
93,434,1272364
336,435,1305477
358,436,1348235
294,436,1209410
264,436,1246808
218,436,1306861
152,436,1226360
81,436,1273943
417,437,1213107
246,437,1263564
87,437,1139055
338,438,1225135
142,438,1308173
76,438,1353079
337,439,1296421
57,439,1330305
469,440,1254552
360,440,1162437
355,440,1237248
131,440,1264312
27,440,1199125
403,441,1255094
314,441,1161769
299,441,1188865
113,441,1131342
45,441,1269872
329,442,1266635
448,443,1151401
305,443,1239940
236,443,1150914
81,443,1143933
338,444,1193502
279,444,1117156
136,445,1149718
471,446,1267998
286,446,1282553
191,447,1151873
85,447,1223083
448,448,1206319
398,448,1205818
354,448,1266845
336,448,1203626
198,448,1172742
102,448,1179997
40,448,1286007
26,448,1180394
231,449,1267381
210,449,1274083
71,449,1265063
6,449,1267655
318,450,1236147
312,451,1255173
223,452,1283779
127,452,1297693
334,453,1269652
311,453,1233139
112,453,1230371
39,453,1270928
410,454,1244648
371,454,1239889
384,455,1213959
272,455,1215382
180,455,1250787
116,455,1251464
354,456,1312931
224,456,1207708
28,456,1245951
380,457,1257953
354,458,1365551
267,458,1308289
42,458,1250629
484,459,1282234
164,459,1329403
105,459,1303446
453,460,1182709
353,460,1153308
182,460,1111273
32,460,1208350
434,461,1293841
32,462,1278482
457,463,1253724
307,463,1256476
125,463,1173293
319,464,1215809
234,465,1203198
105,465,1234013
293,466,1210198
360,467,1152223
224,467,1187218
35,467,1185017
456,468,1192005
206,468,1135546
360,469,1125251
256,469,1166690
190,469,1194353
409,470,1107453
125,470,1089985
13,470,1125978
420,471,1232602
294,471,1184063
190,471,1239276
71,471,1215158
6,471,1237834
408,472,1184054
375,472,1240707
47,472,1193692
370,473,1169288
242,473,1132077
177,473,1145102
82,473,1147011
468,474,1209281
444,474,1194781
398,474,1176782
224,474,1171856
119,474,1211572
339,475,1206622
204,475,1241578
374,476,1247664
332,476,1320446
320,476,1315621
154,476,1263291
385,477,1264156
381,477,1228457
372,477,1277011
266,478,1174039
264,478,1187554
261,478,1123590
470,479,1207810
332,479,1274736
117,479,1170935
346,480,1221365
303,480,1228817
140,480,1244007
16,480,1209868
43,481,1164861
417,482,1231021
202,482,1183817
145,482,1126661
27,482,1189127
150,483,1262889
351,484,1300436
312,484,1249172
67,485,1188802
98,486,1215201
323,487,1280572
269,487,1279160
198,487,1242114
125,487,1223545
368,489,1223798
143,489,1263743
128,489,1175998
71,489,1183414
57,489,1247563
475,490,1219843
225,490,1303588
118,490,1225884
239,491,1248548
192,491,1188626
119,491,1190484
258,492,1240972
181,492,1257296
122,492,1294766
259,493,1144649
253,493,1152159
187,493,1181854
164,493,1230560
126,493,1135674
15,493,1155529
197,495,1268137
478,496,1203078
143,496,1253530
479,497,1289455
471,497,1251817
453,497,1278317
449,497,1280382
332,497,1329219
128,497,1272758
25,497,1301610
2,497,1308881
231,498,1279592
368,499,1269648
266,499,1299544
162,499,1210400
138,0,1280263
106,1,1275528
399,2,1188007
321,2,1133988
269,2,1248833
134,2,1168554
126,2,1233299
34,2,1215665
365,3,1213898
342,3,1152322
82,4,1229782
59,5,1267130
411,6,1219663
339,7,1251000
313,7,1217351
78,7,1257938
261,9,1161626
322,10,1306628
201,10,1226901
137,10,1252599
29,10,1187667
486,11,1287896
275,11,1259071
207,11,1227878
172,11,1274084
26,11,1202786
443,12,1277808
115,12,1249682
7,12,1292529
157,13,1299009
47,13,1203384
246,14,1260328
162,14,1239907
306,15,1206906
142,15,1261073
30,15,1230782
383,16,1167236
310,16,1192867
297,17,1259501
277,17,1217013
15,17,1190713
347,18,1209775
158,19,1259364
124,19,1242386
49,19,1202556
168,20,1200522
70,20,1196685
111,21,1283372
49,21,1294495
37,23,1273610
68,25,1197796
326,26,1144070
300,27,1195191
116,27,1184695
362,28,1130018
290,28,1211152
377,29,1231531
242,29,1268213
237,29,1323627
427,30,1229449
64,30,1227881
219,31,1218551
446,32,1268734
63,32,1224528
11,32,1249081
493,33,1182377
297,33,1166376
367,34,1239223
98,34,1169274
93,34,1294062
333,35,1291199
240,35,1287442
188,35,1241670
181,35,1215555
345,36,1278856
156,36,1264356
131,36,1213682
64,36,1222380
485,37,1247031
205,38,1242213
127,38,1288537
375,39,1258424
57,40,1382096
467,41,1146951
338,41,1158524
186,41,1137042
407,42,1207528
365,42,1230600
401,43,1166591
355,43,1205579
250,43,1185034
365,44,1323651
364,44,1251485
310,44,1316094
65,44,1375957
190,45,1267550
221,46,1238499
88,46,1200277
443,47,1182706
414,47,1144413
332,47,1224546
210,47,1196912
82,47,1162631
28,47,1190862
377,48,1155666
67,48,1085737
76,49,1228348
80,50,1308470
166,51,1240600
443,52,1194235
396,52,1193495
170,53,1209784
117,53,1131914
9,53,1201815
205,54,1266488
101,54,1175778
29,54,1128017
386,56,1187586
240,56,1250822
415,57,1228005
183,57,1253924
389,58,1270774
337,58,1346850
306,58,1295816
35,58,1247810
74,59,1265935
480,60,1163245
498,61,1284250
100,61,1268695
436,62,1194473
417,62,1265996
299,62,1214793
274,62,1235128
144,63,1258380
74,63,1269306
6,63,1268311
170,64,1245451
370,65,1309621
188,65,1257303
92,65,1257709
70,66,1327702
482,67,1243695
70,119,1276995
262,158,1256676
6,169,1247226
46,55,1241455
326,58,1254314
446,60,1254776
369,63,1297183
335,63,1243792
299,63,1215374
15,63,1253384
342,64,1239792
231,65,1256810
444,67,1278755
431,67,1267208
399,68,1219303
341,68,1321386
338,68,1247559
74,69,1228032
20,69,1199223
461,70,1329538
404,70,1262099
313,70,1252852
231,71,1190279
221,71,1209826
215,71,1214092
81,71,1197259
59,71,1232007
391,72,1230180
379,72,1131618
323,73,1230601
166,73,1170447
77,73,1202061
66,73,1158638
406,74,1269662
174,74,1218629
171,74,1221817
29,74,1232347
334,75,1227575
157,75,1305427
29,75,1206213
22,75,1272992
381,76,1190267
7,76,1210158
457,77,1217039
286,77,1222799
177,77,1241377
205,78,1250299
396,79,1196149
225,79,1244005
163,79,1177204
454,80,1287583
210,80,1270187
328,81,1224136
299,82,1215296
272,82,1196423
432,83,1189620
223,83,1225610
211,83,1222060
104,83,1196694
88,83,1154049
